District,Attribute,Measure
Shimoga,Religion not stated - Rural Male,625
Shimoga,Religion not stated - Urban Male,312
Shimoga,Religion not stated - Female,856
Shimoga,Religion not stated - Rural Female,595
Shimoga,Religion not stated - Urban Female,261
Shimoga,Sikhs - Total,334
Shimoga,Sikhs - Rural,73
Shimoga,Sikhs - Urban,261
Shimoga,Sikhs - Male,184
Shimoga,Sikhs - Rural Male,35
Shimoga,Sikhs - Urban Male,149
Shimoga,Sikhs - Female,150
Shimoga,Sikhs - Rural Female,38
Shimoga,Sikhs - Urban Female,112
Raichur,All Religions - Total,1929889
Raichur,All Religions - Rural,1443491
Raichur,All Religions - Urban,486398
Raichur,All Religions - Male,972987
Raichur,All Religions - Rural Male,724515
Raichur,All Religions - Urban Male,248472
Raichur,All Religions - Female,956901
Raichur,All Religions - Rural Female,718976
Raichur,All Religions - Urban Female,237926
Raichur,Buddhists - Total,1672
Raichur,Buddhists - Rural,915
Raichur,Buddhists - Urban,757
Raichur,Buddhists - Male,851
Raichur,Buddhists - Rural Male,445
Raichur,Buddhists - Urban Male,406
Raichur,Buddhists - Female,822
Raichur,Buddhists - Rural Female,470
Raichur,Buddhists - Urban Female,351
Raichur,Christians - Total,14320
Raichur,Christians - Rural,7078
Raichur,Christians - Urban,7242
Raichur,Christians - Male,7053
Raichur,Christians - Rural Male,3585
Raichur,Christians - Urban Male,3467
Raichur,Christians - Female,7268
Raichur,Christians - Rural Female,3493
Raichur,Christians - Urban Female,3775
Raichur,Hindus - Total,1637809
Raichur,Hindus - Rural,1304777
Raichur,Hindus - Urban,333032
Raichur,Hindus - Male,824863
Raichur,Hindus - Rural Male,654701
Raichur,Hindus - Urban Male,170162
Raichur,Hindus - Female,812946
Raichur,Hindus - Rural Female,650076
Raichur,Hindus - Urban Female,162870
Raichur,Jains - Total,4450
Raichur,Jains - Rural,193
Raichur,Jains - Urban,4257
Raichur,Jains - Male,2345
Raichur,Jains - Rural Male,105
Raichur,Jains - Urban Male,2240
Raichur,Jains - Female,2105
Raichur,Jains - Rural Female,88
Raichur,Jains - Urban Female,2017
Raichur,Muslims - Total,264273
Raichur,Muslims - Rural,125090
Raichur,Muslims - Urban,139183
Raichur,Muslims - Male,134168
Raichur,Muslims - Rural Male,62966
Raichur,Muslims - Urban Male,71202
Raichur,Muslims - Female,130105
Raichur,Muslims - Rural Female,62124
Raichur,Muslims - Urban Female,67981
Raichur,Others - Total,1946
Raichur,Others - Rural,1160
Raichur,Others - Urban,786
Raichur,Others - Male,996
Raichur,Others - Rural Male,592
Raichur,Others - Urban Male,405
Raichur,Others - Female,950
Raichur,Others - Rural Female,569
Raichur,Others - Urban Female,381
Raichur,Religion not stated - Total,5281
Raichur,Religion not stated - Rural,4216
Raichur,Religion not stated - Urban,1064
Raichur,Religion not stated - Male,2633
Raichur,Religion not stated - Rural Male,2087
Raichur,Religion not stated - Urban Male,546
Raichur,Religion not stated - Female,2648
Raichur,Religion not stated - Rural Female,2129
Raichur,Religion not stated - Urban Female,519
Raichur,Sikhs - Total,138
Raichur,Sikhs - Rural,61
Raichur,Sikhs - Urban,76
Raichur,Sikhs - Male,79
Raichur,Sikhs - Rural Male,34
Raichur,Sikhs - Urban Male,45
Raichur,Sikhs - Female,59
Raichur,Sikhs - Rural Female,28
Raichur,Sikhs - Urban Female,31
Mysore Dist.,All Religions - Total,3052464
Mysore Dist.,All Religions - Rural,1917333
Mysore Dist.,All Religions - Urban,1135130
Mysore Dist.,All Religions - Male,1554152
Mysore Dist.,All Religions - Rural Male,977078
Mysore Dist.,All Religions - Urban Male,577074
Mysore Dist.,All Religions - Female,1498312
Mysore Dist.,All Religions - Rural Female,940256
Mysore Dist.,All Religions - Urban Female,558057
Mysore Dist.,Buddhists - Total,43832
Mysore Dist.,Buddhists - Rural,42394
Mysore Dist.,Buddhists - Urban,1438
Mysore Dist.,Buddhists - Male,25513
Mysore Dist.,Buddhists - Rural Male,24689
Mysore Dist.,Buddhists - Urban Male,824
Mysore Dist.,Buddhists - Female,18319
Mysore Dist.,Buddhists - Rural Female,17705
Mysore Dist.,Buddhists - Urban Female,614
Mysore Dist.,Christians - Total,40308
Mysore Dist.,Christians - Rural,8126
Mysore Dist.,Christians - Urban,32182
Mysore Dist.,Christians - Male,19450
Mysore Dist.,Christians - Rural Male,4087
Mysore Dist.,Christians - Urban Male,15363
Mysore Dist.,Christians - Female,20858
Mysore Dist.,Christians - Rural Female,4039
Mysore Dist.,Christians - Urban Female,16819
Mysore Dist.,Hindus - Total,2669020
Mysore Dist.,Hindus - Rural,1797656
Mysore Dist.,Hindus - Urban,871364
Mysore Dist.,Hindus - Male,1356870
Mysore Dist.,Hindus - Rural Male,912801
Mysore Dist.,Hindus - Urban Male,444069
Mysore Dist.,Hindus - Female,1312150
Mysore Dist.,Hindus - Rural Female,884855
Mysore Dist.,Hindus - Urban Female,427294
Mysore Dist.,Jains - Total,17284
Mysore Dist.,Jains - Rural,5810
Mysore Dist.,Jains - Urban,11473
Mysore Dist.,Jains - Male,8903
Mysore Dist.,Jains - Rural Male,2938
Mysore Dist.,Jains - Urban Male,5965
Mysore Dist.,Jains - Female,8381
Mysore Dist.,Jains - Rural Female,2872
Mysore Dist.,Jains - Urban Female,5508
Mysore Dist.,Muslims - Total,270803
Mysore Dist.,Muslims - Rural,55152
Mysore Dist.,Muslims - Urban,215651
Mysore Dist.,Muslims - Male,137633
Mysore Dist.,Muslims - Rural Male,28361
Mysore Dist.,Muslims - Urban Male,109273
Mysore Dist.,Muslims - Female,133170
Mysore Dist.,Muslims - Rural Female,26791
Mysore Dist.,Muslims - Urban Female,106379
Mysore Dist.,Others - Total,5315
Mysore Dist.,Others - Rural,4562
Mysore Dist.,Others - Urban,754
Mysore Dist.,Others - Male,2754
Mysore Dist.,Others - Rural Male,2358
Mysore Dist.,Others - Urban Male,396
Mysore Dist.,Others - Female,2561
Mysore Dist.,Others - Rural Female,2204
Mysore Dist.,Others - Urban Female,357
Mysore Dist.,Religion not stated - Total,5289
Mysore Dist.,Religion not stated - Rural,3545
Mysore Dist.,Religion not stated - Urban,1744
Mysore Dist.,Religion not stated - Male,2699
Mysore Dist.,Religion not stated - Rural Male,1788
Mysore Dist.,Religion not stated - Urban Male,911
Mysore Dist.,Religion not stated - Female,2590
Mysore Dist.,Religion not stated - Rural Female,1757
Mysore Dist.,Religion not stated - Urban Female,833
Mysore Dist.,Sikhs - Total,613
Mysore Dist.,Sikhs - Rural,88
Mysore Dist.,Sikhs - Urban,525
Mysore Dist.,Sikhs - Male,329
Mysore Dist.,Sikhs - Rural Male,57
Mysore Dist.,Sikhs - Urban Male,273
Mysore Dist.,Sikhs - Female,283
Mysore Dist.,Sikhs - Rural Female,31
Mysore Dist.,Sikhs - Urban Female,252
Mandya,All Religions - Total,2038467
Mandya,All Religions - Rural,1711709
Mandya,All Religions - Urban,326758
Mandya,All Religions - Male,1026378
Mandya,All Religions - Rural Male,860224
Mandya,All Religions - Urban Male,166154
Mandya,All Religions - Female,1012089
Mandya,All Religions - Rural Female,851484
Mandya,All Religions - Urban Female,160605
Mandya,Buddhists - Total,12821
Mandya,Buddhists - Rural,9314
Mandya,Buddhists - Urban,3507
Mandya,Buddhists - Male,6580
Mandya,Buddhists - Rural Male,4695
Mandya,Buddhists - Urban Male,1885
Mandya,Buddhists - Female,6241
Mandya,Buddhists - Rural Female,4620
Mandya,Buddhists - Urban Female,1622
Mandya,Christians - Total,9355
Mandya,Christians - Rural,3337
Mandya,Christians - Urban,6018
Mandya,Christians - Male,4421
Mandya,Christians - Rural Male,1596
Mandya,Christians - Urban Male,2825
Mandya,Christians - Female,4934
Mandya,Christians - Rural Female,1741
Mandya,Christians - Urban Female,3193
Mandya,Hindus - Total,1927436
Mandya,Hindus - Rural,1664912
Mandya,Hindus - Urban,262524
Mandya,Hindus - Male,970145
Mandya,Hindus - Rural Male,836518
Mandya,Hindus - Urban Male,133627
Mandya,Hindus - Female,957291
Mandya,Hindus - Rural Female,828394
Mandya,Hindus - Urban Female,128897
Mandya,Jains - Total,4462
Mandya,Jains - Rural,1315
Mandya,Jains - Urban,3147
Mandya,Jains - Male,2323
Mandya,Jains - Rural Male,669
Mandya,Jains - Urban Male,1654
Mandya,Jains - Female,2139
Mandya,Jains - Rural Female,646
Mandya,Jains - Urban Female,1493
Mandya,Muslims - Total,80778
Mandya,Muslims - Rural,29731
Mandya,Muslims - Urban,51046
Mandya,Muslims - Male,41066
Mandya,Muslims - Rural Male,15184
Mandya,Muslims - Urban Male,25883
Mandya,Muslims - Female,39712
Mandya,Muslims - Rural Female,14548
Mandya,Muslims - Urban Female,25164
Mandya,Others - Total,1358
Mandya,Others - Rural,1147
Mandya,Others - Urban,212
Mandya,Others - Male,708
Mandya,Others - Rural Male,592
Mandya,Others - Urban Male,117
Mandya,Others - Female,650
Mandya,Others - Rural Female,555
Mandya,Others - Urban Female,95
Mandya,Religion not stated - Total,2073
Mandya,Religion not stated - Rural,1848
Mandya,Religion not stated - Urban,225
Mandya,Religion not stated - Male,1032
Mandya,Religion not stated - Rural Male,917
Mandya,Religion not stated - Urban Male,116
Mandya,Religion not stated - Female,1041
Mandya,Religion not stated - Rural Female,932
Mandya,Religion not stated - Urban Female,110
Mandya,Sikhs - Total,183
Mandya,Sikhs - Rural,104
Mandya,Sikhs - Urban,79
Mandya,Sikhs - Male,102
Mandya,Sikhs - Rural Male,54
Mandya,Sikhs - Urban Male,47
Mandya,Sikhs - Female,81
Mandya,Sikhs - Rural Female,50
Mandya,Sikhs - Urban Female,31
Koppal,All Religions - Total,1382424
Koppal,All Religions - Rural,1153241
Koppal,All Religions - Urban,229183
Koppal,All Religions - Male,697300
Koppal,All Religions - Rural Male,581051
Koppal,All Religions - Urban Male,116249
Koppal,All Religions - Female,685124
Koppal,All Religions - Rural Female,572190
Koppal,All Religions - Urban Female,112934
Koppal,Buddhists - Total,114
Koppal,Buddhists - Rural,67
Koppal,Buddhists - Urban,47
Koppal,Buddhists - Male,58
Koppal,Buddhists - Rural Male,29
Koppal,Buddhists - Urban Male,29
Koppal,Buddhists - Female,57
Koppal,Buddhists - Rural Female,38
Koppal,Buddhists - Urban Female,18
Koppal,Christians - Total,4719
Koppal,Christians - Rural,2005
Koppal,Christians - Urban,2714
Koppal,Christians - Male,2355
Koppal,Christians - Rural Male,1022
Koppal,Christians - Urban Male,1334
Koppal,Christians - Female,2364
Koppal,Christians - Rural Female,984
Koppal,Christians - Urban Female,1380
Koppal,Hindus - Total,1204670
Koppal,Hindus - Rural,1050513
Koppal,Hindus - Urban,154157
Koppal,Hindus - Male,607221
Koppal,Hindus - Rural Male,529093
Koppal,Hindus - Urban Male,78129
Koppal,Hindus - Female,597448
Koppal,Hindus - Rural Female,521420
Koppal,Hindus - Urban Female,76028
Koppal,Jains - Total,3062
Koppal,Jains - Rural,1254
Koppal,Jains - Urban,1808
Koppal,Jains - Male,1598
Koppal,Jains - Rural Male,633
Koppal,Jains - Urban Male,965
Koppal,Jains - Female,1463
Koppal,Jains - Rural Female,621
Koppal,Jains - Urban Female,843
Koppal,Muslims - Total,158544
Koppal,Muslims - Rural,90895
Koppal,Muslims - Urban,67649
Koppal,Muslims - Male,80265
Koppal,Muslims - Rural Male,45948
Koppal,Muslims - Urban Male,34316
Koppal,Muslims - Female,78279
Koppal,Muslims - Rural Female,44946
Koppal,Muslims - Urban Female,33333
Koppal,Others - Total,4941
Koppal,Others - Rural,3137
Koppal,Others - Urban,1804
Koppal,Others - Male,2502
Koppal,Others - Rural Male,1559
Koppal,Others - Urban Male,943
Koppal,Others - Female,2439
Koppal,Others - Rural Female,1578
Koppal,Others - Urban Female,861
Koppal,Religion not stated - Total,6235
Koppal,Religion not stated - Rural,5299
Koppal,Religion not stated - Urban,936
Koppal,Religion not stated - Male,3221
Koppal,Religion not stated - Rural Male,2720
Koppal,Religion not stated - Urban Male,502
Koppal,Religion not stated - Female,3014
Koppal,Religion not stated - Rural Female,2580
Koppal,Religion not stated - Urban Female,435
Koppal,Sikhs - Total,139
Koppal,Sikhs - Rural,71
Koppal,Sikhs - Urban,68
Koppal,Sikhs - Male,79
Koppal,Sikhs - Rural Male,47
Koppal,Sikhs - Urban Male,31
Koppal,Sikhs - Female,60
Koppal,Sikhs - Rural Female,23
Koppal,Sikhs - Urban Female,37
Kolar,All Religions - Total,2931155
Kolar,All Religions - Rural,2208184
Kolar,All Religions - Urban,722971
Kolar,All Religions - Male,1486565
Kolar,All Religions - Rural Male,1119094
Kolar,All Religions - Urban Male,367471
Kolar,All Religions - Female,1444590
Kolar,All Religions - Rural Female,1089090
Kolar,All Religions - Urban Female,355500
Kolar,Buddhists - Total,705
Kolar,Buddhists - Rural,289
Kolar,Buddhists - Urban,416
Kolar,Buddhists - Male,368
Kolar,Buddhists - Rural Male,155
Kolar,Buddhists - Urban Male,213
Kolar,Buddhists - Female,337
Kolar,Buddhists - Rural Female,134
Kolar,Buddhists - Urban Female,203
Kolar,Christians - Total,37617
Kolar,Christians - Rural,4335
Kolar,Christians - Urban,33282
Kolar,Christians - Male,17947
Kolar,Christians - Rural Male,2132
Kolar,Christians - Urban Male,15815
Kolar,Christians - Female,19670
Kolar,Christians - Rural Female,2203
Kolar,Christians - Urban Female,17467
Kolar,Hindus - Total,2538870
Kolar,Hindus - Rural,2060437
Kolar,Hindus - Urban,478433
Kolar,Hindus - Male,1286614
Kolar,Hindus - Rural Male,1043325
Kolar,Hindus - Urban Male,243288
Kolar,Hindus - Female,1252257
Kolar,Hindus - Rural Female,1017112
Kolar,Hindus - Urban Female,235145
Kolar,Jains - Total,4503
Kolar,Jains - Rural,870
Kolar,Jains - Urban,3633
Kolar,Jains - Male,2359
Kolar,Jains - Rural Male,440
Kolar,Jains - Urban Male,1919
Kolar,Jains - Female,2144
Kolar,Jains - Rural Female,430
Kolar,Jains - Urban Female,1714
Kolar,Muslims - Total,345311
Kolar,Muslims - Rural,139814
Kolar,Muslims - Urban,205497
Kolar,Muslims - Male,177165
Kolar,Muslims - Rural Male,71822
Kolar,Muslims - Urban Male,105343
Kolar,Muslims - Female,168146
Kolar,Muslims - Rural Female,67993
Kolar,Muslims - Urban Female,100154
Kolar,Others - Total,307
Kolar,Others - Rural,151
Kolar,Others - Urban,156
Kolar,Others - Male,168
Kolar,Others - Rural Male,81
Kolar,Others - Urban Male,87
Kolar,Others - Female,140
Kolar,Others - Rural Female,71
Kolar,Others - Urban Female,69
Kolar,Religion not stated - Total,3447
Kolar,Religion not stated - Rural,2208
Kolar,Religion not stated - Urban,1239
Kolar,Religion not stated - Male,1717
Kolar,Religion not stated - Rural Male,1098
Kolar,Religion not stated - Urban Male,620
Kolar,Religion not stated - Female,1729
Kolar,Religion not stated - Rural Female,1110
Kolar,Religion not stated - Urban Female,620
Kolar,Sikhs - Total,394
Kolar,Sikhs - Rural,79
Kolar,Sikhs - Urban,316
Kolar,Sikhs - Male,228
Kolar,Sikhs - Rural Male,40
Kolar,Sikhs - Urban Male,187
Kolar,Sikhs - Female,166
Kolar,Sikhs - Rural Female,38
Kolar,Sikhs - Urban Female,128
Kodagu,All Religions - Total,634020
Kodagu,All Religions - Rural,546894
Kodagu,All Religions - Urban,87126
Kodagu,All Religions - Male,317646
Kodagu,All Religions - Rural Male,273078
Kodagu,All Religions - Urban Male,44568
Kodagu,All Religions - Female,316373
Kodagu,All Religions - Rural Female,273816
Kodagu,All Religions - Urban Female,42557
Kodagu,Buddhists - Total,782
Kodagu,Buddhists - Rural,726
Kodagu,Buddhists - Urban,57
Kodagu,Buddhists - Male,405
Kodagu,Buddhists - Rural Male,373
Kodagu,Buddhists - Urban Male,31
Kodagu,Buddhists - Female,378
Kodagu,Buddhists - Rural Female,353
Kodagu,Buddhists - Urban Female,25
Kodagu,Christians - Total,20748
Kodagu,Christians - Rural,16012
Kodagu,Christians - Urban,4735
Kodagu,Christians - Male,10454
Kodagu,Christians - Rural Male,8107
Kodagu,Christians - Urban Male,2347
Kodagu,Christians - Female,10293
Kodagu,Christians - Rural Female,7906
Kodagu,Christians - Urban Female,2388
Kodagu,Hindus - Total,520906
Kodagu,Hindus - Rural,458095
Kodagu,Hindus - Urban,62811
Kodagu,Hindus - Male,260312
Kodagu,Hindus - Rural Male,228411
Kodagu,Hindus - Urban Male,31901
Kodagu,Hindus - Female,260594
Kodagu,Hindus - Rural Female,229684
Kodagu,Hindus - Urban Female,30910
Kodagu,Jains - Total,239
Kodagu,Jains - Rural,99
Kodagu,Jains - Urban,140
Kodagu,Jains - Male,123
Kodagu,Jains - Rural Male,52
Kodagu,Jains - Urban Male,71
Kodagu,Jains - Female,117
Kodagu,Jains - Rural Female,47
Kodagu,Jains - Urban Female,69
Kodagu,Muslims - Total,90690
Kodagu,Muslims - Rural,71394
Kodagu,Muslims - Urban,19296
Kodagu,Muslims - Male,46011
Kodagu,Muslims - Rural Male,35840
Kodagu,Muslims - Urban Male,10171
Kodagu,Muslims - Female,44679
Kodagu,Muslims - Rural Female,35554
Kodagu,Muslims - Urban Female,9125
Kodagu,Others - Total,154
Kodagu,Others - Rural,136
Kodagu,Others - Urban,17
